mu1,mu2,mu3
0.391600,2.241111,3.991191
7.609844,12.826189,-0.386661
-1.393696,9.949534,-12.725222
-1.472512,3.575556,14.233122
-1.550396,2.933707,9.161683
4.180949,-0.010757,5.168304
-4.462535,-3.343950,1.332415
0.942910,4.924582,13.143179
0.583904,-3.677417,6.989713
2.446467,2.951506,4.028316
-0.049321,5.099569,22.340475
-3.022934,1.827951,-4.637289
3.443519,4.653566,7.217358
3.697335,0.289247,1.881424
4.134009,-0.205770,0.008834
2.456680,3.408607,15.477694
-0.506308,1.333312,7.338567
1.912137,-3.724398,12.605612
-1.396177,-1.812905,11.309546
4.896933,-1.456229,10.029427
2.372777,3.824147,4.022821
-0.664442,2.072069,19.598261
3.600236,-2.933045,11.448121
1.270844,0.488562,6.175679
0.265584,-4.341936,10.115681
3.801359,-2.645468,36.044433
1.935413,6.705167,-4.322035
1.954219,-1.080067,10.647307
-0.443648,-1.433754,29.584906
-4.259910,8.379242,-2.212331
1.565751,0.420799,-5.351366
0.269317,7.270929,-3.666590
-1.448566,8.761363,3.621674
-1.307563,-0.208430,1.758047
-0.839530,-1.378193,-13.431806
-3.702180,-0.836289,1.256489
-3.889220,1.390069,22.031655
1.289364,4.014064,21.580011
-1.917612,0.244508,16.707462
3.743238,-6.347861,6.370381
-2.179714,6.185703,14.129183
3.142416,-1.349517,4.370315
0.021950,-0.160040,-11.791888
0.237312,4.412799,9.353846
0.337672,-3.407647,-9.891914
7.038432,0.976080,-11.843106
2.722866,-6.300652,27.103391
1.366829,5.101021,-4.119849
-1.146221,8.975375,-5.620012
0.739812,4.383107,-2.110561
0.202162,1.219868,0.710764
4.251410,4.385079,5.578556
-2.374098,5.462932,-2.131944
2.390201,9.388378,-10.819529
0.171076,-2.916640,-7.399201
1.170217,6.011853,-6.054455
-2.761840,9.939412,-10.298189
1.464658,4.108482,-4.931579
1.060709,7.338320,2.751310
-0.126991,0.290584,-15.147885
0.608332,1.112191,-14.525531
2.207783,6.526424,-3.017386
0.237294,3.849922,0.000992
4.203230,2.517068,-6.132437
0.829531,5.814303,17.858450
-1.478899,2.588402,15.286052
2.858273,0.506777,-8.211721
-1.202307,9.465068,-7.507463
2.757633,7.642913,16.749990
-3.762867,1.976249,12.749262
-1.102316,3.296642,5.444048
1.283843,11.100847,10.412403
-0.088529,-1.980878,25.837572
-1.676438,10.187307,12.623735
2.204845,-0.523754,0.101569
0.569770,-0.107239,13.423453
-0.594018,2.364450,8.754469
2.394266,1.458972,-1.928173
-1.398672,-0.007212,6.020404
0.431414,9.670493,-4.436807
-1.226023,2.422943,14.842048
5.184882,-0.855324,8.374792
-2.234899,1.878762,-0.400280
1.619801,-2.603449,-0.962881
2.337459,6.635699,6.076722
1.956505,-0.862384,30.089489
-2.851365,5.464695,1.957310
0.403515,4.034942,5.023295
-2.568633,6.646704,8.148246
4.376367,-3.781856,8.685177
4.546654,4.420403,-2.976146
2.245410,-3.278481,3.260184
2.498191,-4.253270,7.207177
3.189345,9.785614,13.589496
1.161273,5.180401,-2.524762
0.408613,4.405697,0.383781
2.444665,-1.247011,9.721634
-0.992846,-3.601500,9.097101
-1.062164,-4.035978,11.872551
-1.321290,2.678803,-5.509835
3.945417,5.848581,10.019632
-1.028431,-7.562487,2.182396
5.362455,-3.323239,24.802770
4.992490,3.737063,2.313705
1.075153,-0.595524,7.918604
-0.308670,5.716835,0.978834
-2.333388,12.135855,0.165694
-1.139491,5.114696,8.699854
1.601640,-1.839133,26.905387
-1.483566,4.052892,10.247693
4.711158,4.476913,8.345977
3.766931,3.190611,-0.148328
